轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.031,8,0,0.529,0.035,7.0,0.0,0.524
2,0.063,8,0,0.546,0.070,6.0,0.0,0.539
3,0.185,5,0,0.618,0.106,6.0,0.0,0.551
4,0.221,7,0,0.613,0.268,2.0,0.0,0.628
5,0.255,7,0,0.617,0.305,2.0,0.0,0.625
6,0.292,5,0,0.624,0.343,7.0,0.0,0.629
7,0.331,6,0,0.633,0.380,2.0,0.0,0.637
8,0.374,8,0,0.644,0.413,6.0,0.0,0.646
9,0.416,7,1,0.655,0.447,6.0,0.0,0.655
10,0.458,7,0,0.666,0.545,6.0,0.0,0.720
11,0.501,7,0,0.678,0.582,1.0,0.0,0.712
12,0.546,8,0,0.689,0.616,4.0,0.0,0.715
13,0.589,7,0,0.701,0.650,2.0,0.0,0.721
14,0.631,7,0,0.713,0.684,5.0,0.0,0.729
15,0.673,8,0,0.724,0.813,5.0,1.0,0.799
16,0.713,7,0,0.735,0.850,4.0,0.0,0.794
17,0.751,6,1,0.746,1.000,7.0,0.0,0.859
18,0.789,8,0,0.756,,,,
19,0.909,6,0,0.826,,,,
20,0.941,5,0,0.819,,,,
21,0.972,6,0,0.821,,,,
22,1.000,6,0,0.872,,,,
