轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.119,6,0,0.619,0.036,6.0,0.0,0.668
2,0.150,5,0,0.632,0.076,6.0,0.0,0.741
3,0.186,8,0,0.643,0.119,7.0,0.0,0.778
4,0.220,4,0,0.653,0.163,6.0,0.0,0.800
5,0.259,7,0,0.663,0.209,7.0,1.0,0.816
6,0.297,5,0,0.673,0.389,7.0,0.0,0.897
7,0.342,9,1,0.685,0.439,8.0,0.0,0.898
8,0.387,7,0,0.697,0.490,6.0,0.0,0.907
9,0.435,7,0,0.709,0.684,8.0,0.0,0.970
10,0.486,8,0,0.722,0.739,6.0,0.0,0.970
11,0.617,9,0,0.795,0.790,6.0,0.0,0.970
12,0.666,8,0,0.792,0.842,5.0,0.0,0.970
13,0.714,5,0,0.798,0.895,1.0,0.0,0.970
14,0.910,7,0,0.879,1.000,5.0,0.0,0.980
15,0.960,9,0,0.879,,,,
16,1.000,9,0,0.886,,,,
