轮次,INFP_任务进度,INFP_创意数量,INFP_冲突数量,INFP_满意度,ESTP_任务进度,ESTP_创意数量,ESTP_冲突数量,ESTP_满意度
1,0.030,9.0,0.0,0.533,0.035,13,0,0.590
2,0.061,8.0,0.0,0.551,0.073,10,0,0.632
3,0.092,7.0,0.0,0.564,0.111,11,0,0.656
4,0.125,11.0,0.0,0.575,0.151,13,0,0.672
5,0.158,10.0,0.0,0.584,0.190,12,0,0.685
6,0.191,6.0,0.0,0.594,0.230,9,1,0.696
7,0.226,10.0,0.0,0.604,0.271,13,0,0.708
8,0.264,12.0,0.0,0.614,0.312,9,0,0.720
9,0.302,10.0,0.0,0.624,0.354,12,0,0.731
10,0.344,13.0,0.0,0.635,0.394,9,0,0.743
11,0.444,13.0,0.0,0.701,0.435,6,0,0.754
12,0.488,10.0,0.0,0.694,0.477,11,0,0.766
13,0.533,13.0,0.0,0.699,0.512,6,0,0.776
14,0.571,9.0,0.0,0.708,0.548,5,0,0.787
15,0.604,8.0,0.0,0.716,0.585,8,0,0.797
16,0.632,9.0,0.0,0.725,0.622,8,0,0.807
17,0.660,10.0,0.0,0.733,0.658,10,0,0.817
18,0.688,9.0,0.0,0.741,0.696,7,0,0.827
19,0.713,8.0,1.0,0.748,0.735,13,1,0.833
20,0.871,10.0,0.0,0.822,0.776,9,0,0.838
21,0.898,10.0,0.0,0.815,0.816,9,0,0.844
22,1.000,12.0,1.0,0.874,0.857,9,0,0.850
23,,,,,0.899,11,0,0.855
24,,,,,0.941,11,0,0.861
25,,,,,0.982,10,0,0.867
26,,,,,1.000,7,0,0.871
